[rosmaster.main][INFO] 2024-04-23 10:51:01,108: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-04-23 10:51:01,108: Starting ROS Master Node
[xmlrpc][INFO] 2024-04-23 10:51:01,111: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-04-23 10:51:01,111: Started XML-RPC server [http://hyx020222-ThinkBook-14:11311/]
[rosmaster.master][INFO] 2024-04-23 10:51:01,111: Master initialized: port[11311], uri[http://hyx020222-ThinkBook-14:11311/]
[xmlrpc][INFO] 2024-04-23 10:51:01,111: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-04-23 10:51:01,148: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,149: +PARAM [/roslaunch/uris/host_hyx020222_thinkbook_14__39543] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,775: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,775: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,775: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,775: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,775: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,775: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,775: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,775: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,775: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,776: +PARAM [/mavros/sys/min_voltage] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,776: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,776: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,776: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,776: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,776: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,776: +PARAM [/mavros/cmd/use_comp_id_system_control] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,776: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/global_position/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/global_position/gps_uere] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/global_position/tf/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/imu/angular_velocity_stdev] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/imu/magnetic_stdev] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,777: +PARAM [/mavros/local_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +SERVICE [/rosout/get_loggers] /rosout http://hyx020222-ThinkBook-14:35683/
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/local_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/local_position/tf/send_fcu] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/safety_area/p1/x] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/safety_area/p1/y] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/safety_area/p1/z] by /roslaunch
